,met,lb,ub
232,fdp_c,1.1960216637123036,1.5632652126261561
233,fmn_c,0.0001,0.34516027331605886
234,f1p_c,0.0072598626267834105,1.2053878900373487
235,mal-L_c,1.9882885885996051,2.316049634210295
236,gam1p_c,0.0001,1.0
237,acgam1p_c,0.0001,1.0
238,g1p_c,0.0001,1.0
239,dttp_c,0.4691562388011643,20.009238522970257
240,glyc3p_c,0.0001,5.533469910918428
241,glu5sa_c,0.0001,1.0
242,1pyr5c_c,0.0001,1.0
243,glu5p_c,0.0001,1.0
244,6pgl_c,0.0001,1.0
245,gal_c,0.0001,1.0
246,udpg_c,0.13675544478304505,17.574880127000583
247,13dpg_c,0.011291163185412439,0.01835877687513656
248,gar_c,0.0001,1.0
249,fgam_c,0.0001,1.0
250,glyclt_c,0.0001,1.0
251,ser-L_c,0.0001,0.7354694733786731
252,gly_c,0.0001,1.0
253,mlthf_c,0.0001,1.0
254,glycogen_c,0.0001,1.0
255,2h3oppan_c,0.0001,1.0
256,adpglc_c,0.005854335069331952,0.0240467109845785
257,pram_c,0.0001,1.0
258,glu-D_c,14.483295560995986,19.19626245645281
259,glx_c,0.0001,1.0
260,2aobut_c,0.0001,1.0
261,glyc-R_c,0.45599688978163655,10.402429048143588
262,3pg_c,1.184341411757472,10.632899414949682
263,lgt-S_c,0.0001,1.0
264,gthrd_c,6.432086230704947,70.85368339488974
265,lac-D_c,0.0001,1.0
266,gmhep1p_c,0.0001,1.0
267,gmhep7p_c,0.0001,1.0
268,gmhep17bp_c,0.0001,1.0
269,xmp_c,0.0001,1.0
270,g3pc_c,0.0001,1.0
271,chol_c,0.0001,1.0
272,g3pe_c,0.0001,1.0
273,g3pg_c,0.0001,1.0
274,gsn_c,0.002719356452083198,0.008292651771636536
275,gtspmd_c,0.0001,1.0
276,spmd_c,0.0001,1.0
277,gua_c,0.0001,1.0153055749044255
278,xan_c,0.0001,1.0
279,histd_c,0.0001,0.1727546252638132
280,his-L_c,0.0001,0.6163809999312369
281,hisp_c,0.0001,1.0
282,hpyr_c,0.0001,1.0
283,hom-L_c,0.0001,1.0
284,phom_c,0.0001,1.0
285,suchms_c,0.0001,1.0
286,imacp_c,0.0001,1.0
287,pydam_c,0.0001,1.0
288,prlp_c,0.0001,1.0
289,eig3p_c,0.0001,1.0
290,2cpr5p_c,0.0001,1.0
291,3ig3p_c,0.0001,1.0
292,ile-L_c,0.0001,1.0
293,3c2hmp_c,0.0001,1.0
294,3c4mop_c,0.0001,1.0
295,2ippm_c,0.0001,1.0
296,3c3hmp_c,0.0001,1.0
297,3hmrsACP_c,0.0001,1.0
298,kdo_c,0.0001,1.0
299,ckdo_c,0.0001,1.0
300,kdo8p_c,0.0001,1.0
301,lac-L_c,0.0001,1.0
302,4mop_c,0.0001,1.0
303,leu-L_c,0.0001,1.0
304,mthgxl_c,0.0001,1.0
305,lipidX_c,0.0001,1.0
306,u23ga_c,0.0001,1.0
307,lipidAds_c,0.0001,1.0
308,agpgEC_c,0.0001,1.0
309,agpeEC_c,0.0001,1.0
310,agpcEC_c,0.0001,1.0
311,apgEC_c,0.0001,1.0
312,cdpea_c,0.0001,1.0
313,lpsEC_c,0.0001,1.0
314,2mcit_c,0.0001,1.0
315,2mcacn_c,0.0001,1.0
316,micit_c,0.0001,1.0
317,5mdru1p_c,0.0001,1.0
318,met-L_c,0.0001,0.6333290135856067
319,5mthf_c,0.0001,1.0
320,mmcoa-S_c,0.0001,1.0
321,mmcoa-R_c,0.0001,1.0
322,lipidA_c,0.0001,1.0
323,kdolipid4_c,0.0001,1.0
324,5mta_c,0.0001,1.0
325,5mtr_c,0.0001,1.0
326,methf_c,0.0001,1.0
327,5mdr1p_c,0.0001,1.0
