,id,v,drg0,drg,z_drg,z_drg0,sp_drg
86,CITL,1e-05,,-13.624493712485997,0.42508078587920467,,9.183257674029668e-11
87,CLPNSEC,0.004326914698649131,,-0.0999999999999801,0.02162368086058357,,5.397423160996016e-05
88,CMPN,1e-05,,-27.96236120252055,0.3970137192801224,,7.88776042238792e-11
89,CS,5.187282006450799,,-44.29613284432862,-0.31110637195440677,,5.802766036417389e-11
90,CSND,1e-05,,-50.89810114185395,-0.32941801020211564,,4.306261682895943e-11
91,CTPS2,0.10159530050782153,,-47.668406419988244,-0.9179527294007144,,5.7735560135057625e-11
92,CYSS,0.1563453822716958,,-59.87265570242964,-0.786278239138468,,4.380130262837301e-11
93,cytd,1e-05,,-44.87658360996443,-1.1228419356673003,,5.963378721245103e-11
94,CYTDK2,2.0199999539727287e-07,,-27.07378209379609,-1.2382383183714658,,1.0797214530958137e-10
95,CYTK1,0.11906125870314764,,-1.9910993953175211,-0.2698413711553642,,0.004146505823756357
96,CYTK2,2.01999938553854e-07,,-4.203733102957202,-0.5092104286201784,,8.91844912899183e-09
97,DAAD,0.5135761879902135,,-11.744143114764116,-0.9689147912284849,,5.869201031240841e-10
98,DADA,4.0185593583246583e-07,,-43.51649538449995,-0.5963528941906937,,5.680807195930262e-11
99,DADK,2.0199999539727287e-07,,-8.607101922498094,-1.4062507064762868,,7.236113626545678e-09
100,DAGKEC,0.01127030537824874,,-51.8638861230591,0.0969868015453391,,4.135528207810767e-11
101,DAPDC,0.21869367314102586,,-28.032826643271704,1.8270600864008877,,7.001924393392857e-11
102,DAPE,0.23720884301431513,,-2.15592340765992,-0.06556378329226638,,1.4620254599953585e-09
103,DASYNEC,0.10213632207165174,,-0.10000000000002274,-0.012428396843135937,,1.8162051427025846e-05
104,DB4PS,1.3416789763253123e-05,,-131.24512118177066,-2.5331373530250305,,1.6611739375470163e-11
105,DCTPD,1e-05,,-55.637812592572885,-0.4905940824227082,,4.103422956496404e-11
106,DCYTD,2.0199999539727287e-07,,-42.43107086085737,-0.13816153223718963,,5.2222640009966105e-11
107,DDPA,0.27571502963485167,,-74.74443160863157,-0.49871770430179974,,3.0545593861955075e-11
108,DGK1,-2.01999938553854e-07,,2.8976132050708583,-0.05906965883838875,,7.101147291384392e-10
109,DHAD1,0.5568363547048062,,-43.58873508078266,-0.921462331213134,,5.5715977574337284e-11
110,DHAD2,0.18515169873289308,,-38.87510379526285,-0.26945193446632365,,5.771235983044242e-11
111,DHAPT,0.22741537759100644,,-39.33769516524244,-0.9398739753155676,,6.416023074326077e-11
112,DHDPRy,0.23720884301431513,,-19.380031210522485,-0.08974421162229995,,8.538717935222587e-11
113,DHDPS,0.23720884301431513,,-116.39253132571062,-0.6516279721544943,,2.096677137047518e-11
114,DHFR,0.05011170976575042,,-43.4536804546625,-2.3745420198038896,,5.7368312706399615e-11
115,DHFS,0.033541974408132814,,-30.644569546210107,0.4866346176729386,,6.530847103339701e-11
116,DHNPA2,0.033541974408132814,,-12.775950749605787,0.1185692123496974,,1.640755508725605e-10
117,DHORD2,1.0000000000013604e-05,,-115.49102921686416,0.8043606668433738,,1.6191016003058594e-11
118,DHORD5,0.5667774047676009,,-9.85657150928856,0.657694484434057,,2.6928935611553177e-10
119,DHORTS,-0.5667874047676008,,0.09999999999999432,1.3596203263928215,,0.37314138639609834
120,DHPPDA2,6.708394881626562e-06,,-3.1649575443945146,0.0004259161976481248,,0.10700497982330132
121,DHPS2,0.033541974408132814,,-43.275424504503,1.524563980662561,,3.878078454071792e-11
122,DHQD,0.27571502963485167,,-8.26650850721028,-0.40301057799315243,,4.3586076208471254e-10
123,DHQS,0.27571502963485167,,-175.27511800597543,-0.3948390053918717,,1.0696977038376972e-11
124,DKGLCNR1,2.0199999539727287e-07,,-39.54943246597689,-1.6886747452340873,,6.294555013439317e-11
125,DKGLCNR2x,-4.039999339511269e-07,,0.10000000000000497,1.8719305193623246,,0.01211976716689114
126,DKGLCNR2y,2.01999938553854e-07,,-40.819194716659815,-2.1946202117522775,,6.919997477445506e-11
127,DKMPPD,0.004685876417138593,,-569.1111237532405,-1.1442703766568818,,1.0247367562742482e-12
128,DKMPPD2,1e-05,,-279.3853745906856,-1.1162435853147297,,5.403372526795153e-12
129,DNMPPA,0.033541974408132814,,-25.801826167880552,0.43455744286279774,,8.773139469974479e-11
130,DNTPPA,0.033541974408132814,,-53.29013329896232,2.170501868553833,,2.902041677401358e-11
131,DPR,3.957952980156632e-05,,-27.515558038981375,-1.3635765700668199,,8.192299426919778e-11
132,DRPA,2.0200000960812758e-07,,-5.112967609494445,-0.4948454493421469,,3.962618493311457e-09
133,DTMPK,0.016569937357612998,,-4.019025371359129,-0.10080295013864576,,7.074352457215025e-10
134,DURIK1,2.01999938553854e-07,,-26.10536750264285,-0.6564163320948936,,9.36038034881145e-11
135,DURIPP,2.020000096532304e-07,,-0.10000000000002895,-0.5248795594812719,,0.05056159202749575
136,DUTPDP,1.0384905759297298e-05,,-52.790684882378635,1.6528837754093466,,3.315744707062706e-11
137,EDA,10.464270240099209,,-10.163218712883147,-0.6279584212940124,,3.6229151701536045e-10
138,EDD,10.464270240099209,,-45.33743248976008,-0.2337668188345866,,4.883913798936392e-11
139,EDTXS1,0.00563505170056631,,-223.82498143546172,0.0052099026729165,,8.242091713973954e-12
140,EDTXS2,0.00563505170056631,,-31.224240988171232,0.0063718016375024986,,5.040285365082929e-11
141,ENO,10.628582858325135,,-5.83057741398173,0.3974192229440048,,2.913437604893048e-10
142,ETHAAL,6.059990102455704e-07,,-63.437297242721904,-0.6756144964882446,,3.7061733575813e-11
143,F6PA,0.2274151755910679,,-0.10000000000002185,0.17899684254889275,,1.6023657643208191e-09
144,FAO1,-0.009269458047493028,,0.4619327059820648,-1.6540909860276722,,3.2124855396762046e-11
145,FAO2,-0.06542274824360791,,0.3415333327170913,-1.7469428312135986,,2.557094141001734e-11
146,FBA,-2.01999938553854e-07,,1.5155220528792301,-0.1482675168492093,,1.0863068058731204e-09
