,id,v,drg0,drg,z_drg,z_drg0,sp_drg
60,IDOND,-4.0399999079454574e-07,,0.09999999999999964,1.3055801123226094,,0.17731725511133925
61,IDOND2,2.0199999539727287e-07,,-12.135992052495249,0.0792252944053812,,1.2374220031345183e-10
62,LDHD,-2.0200000000000004e-07,,4.7865420135849135,-1.297436191229436,,2.902772328015191e-10
63,LDHD2,10.579088626391954,,-110.30391090937049,0.06990711090351823,,1.2300133255740947e-11
64,L-LACD2,9.999999999999997e-06,,-107.87942226397033,0.015608433642880594,,1.2708603549693223e-11
65,L-LACD3,-9.999999999999997e-06,,1.880309115694617,0.19257559505396327,,5.072196213354651e-10
66,MALS,41.67552969222016,,-48.716396320011086,-1.4536364551500813,,3.307156109242307e-11
67,MCITD,2.01999938553854e-07,,-2.3048890999301026,0.0718481842439309,,1.445091166596144e-09
68,MCITL2,2.01999938553854e-07,,-12.251372167675573,0.02430082729135671,,1.349598509060142e-10
69,MCITS,2.01999938553854e-07,,-50.751909823946036,-0.7318589394302315,,2.7491729206134814e-11
70,MDH,-37.11421273058457,,5.158223118761379,-1.524769169100992,,2.9997901671571516e-10
71,MDH2,1e-05,,-109.93222960347782,0.08170790200672748,,1.2278095291342435e-11
72,MDH3,4.712704471463257,,-0.17249822381241087,0.28478235596664525,,0.040199252188679466
73,ME1,2.0199999539727287e-07,,-40.21910664909032,-1.5152211331861998,,3.9614701075553306e-11
74,ME2,74.07702754734147,,-27.983114632259326,-0.28633746176910807,,6.033762329115977e-11
75,MICITD,2.01999938553854e-07,,-0.10000000000004361,-0.38586774974630184,,0.10115308091967438
76,MLTG2,1.5589515866134576,,-31.262438958204452,0.3031495894772695,,4.697557710126159e-11
77,MLTG3,1.8741978000772054e-07,,-31.462439031611,0.46626224160631174,,4.66724974487492e-11
78,MLTG4,2.0106088570528165e-07,,-31.462439303550347,0.28058772739643795,,4.66724973182399e-11
79,MLTG5,1.9958085428320866e-07,,-31.462439303550347,0.28058568400440964,,4.667249737733435e-11
