reaction,v,drG,Gdiss,drG0_prime,drG_error,drG_conc,b,condition
ACHBS,0.0,70.21240263397158,0.0,69.08535977362311,0.3046364254281322,0.8224064349203353,0.0,0
ACKr,0.0,-7.956331198651441,-0.0,13.911867748018267,-0.03515352126859028,-21.833045425401117,1.0,0
ACLS,0.0,55.46895229824274,0.0,50.068908660189834,0.599251846777598,4.800791791275309,0.0,0
ACNML,0.0,0.5,0.0,7.714066530760192,0.0,-7.2140665307601886,0.0,0
ACOATA,0.0,895.1010110929797,0.0,872.4730880772904,-0.9793249333646372,23.607247949053885,0.0,0
ACODA,0.0,-99.62645099470633,-0.0,-62.74910443474792,1.4205452269894607,-38.29789178694787,1.0,0
ACONT,20.0,-0.5,-10.0,6.503771872162815,-0.043159994643794164,-6.960611877519021,1.0,0
ACOTA,0.0,76.96877780216631,0.0,76.94595504720718,1.709856113829563,-1.6870333588704263,0.0,0
ACS,0.0,-33.526160347238786,-0.0,-10.655358437331188,0.06912631981189321,-22.93992822971949,1.0,0
ADA,0.0,-24.930601760660515,-0.0,-18.217867928877524,0.05907836938164479,-6.771812201164636,1.0,0
ADCL,0.0,-200.6651224928597,-0.0,-186.18326975752603,-0.4424556668551567,-14.039397068478504,1.0,0
ADCS,0.0,0.5,0.0,-18.67133205622946,-0.3028731918329939,19.474205248062454,0.0,0
ADD,0.0,-53.52759132887813,-0.0,-19.94858888355509,0.22933422239995593,-33.808336667723,1.0,0
ADHEr,0.0,20.680327004862292,0.0,7.640949642602436,3.4914303761433345,9.547946986116521,0.0,0
ADK1,0.0,2.2836029478231623,0.0,0.2597399396659057,0.012423714741704117,2.0114392934155525,0.0,0
ADK3,0.0,2.7836029478231605,0.0,3.0031619208507436,-0.316867468580023,0.09730849555243992,0.0,0
ADMDCr,0.0,-17.853363970343906,-0.0,-20.583335156251678,-0.048609523037967506,2.7785807089457393,1.0,0
ADNK1,0.0,5.528023014112776,0.0,-16.531058321315015,0.0548683703089452,22.004212965118846,0.0,0
ADPT,0.0,-0.5,-0.0,-23.43003607757646,-0.07448820456174232,23.004524282138203,1.0,0
ADSK,0.0,176.14473862795433,0.0,165.45177300651972,0.5779828370227627,10.114982784411847,0.0,0
ADSL1r,0.0,1.0896507060351581,0.0,15.791798486238463,-0.11312990964424685,-14.589017870559058,0.0,0
ADSL2r,0.0,6.856054807462996,0.0,23.51241929490675,0.43223534973218847,-17.08859983717594,0.0,0
ADSS,0.0,-0.5,-0.0,-5.116118041719574,-0.45251963857566757,5.068637680295241,1.0,0
AGDC,0.0,-131.974622238974,-0.0,-106.18618469669616,1.0846642531478956,-26.873101795425743,1.0,0
AGMHE,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0
AGMT,0.0,-154.7724975345918,-0.0,-132.5192389033066,-0.6320234422976014,-21.621235188987605,1.0,0
AGPR,0.0,-0.5,-0.0,-47.8463334826493,0.3826303485910074,46.96370313405829,1.0,0
AICART,0.0,28.41843295909942,0.0,11.808094081450918,0.9764813189817332,15.633857558666769,0.0,0
AIRC2,0.0,-488.338426763448,-0.0,-501.18542776511504,0.05548423269876679,12.791516768968258,1.0,0
AIRC3,0.0,-466.9820745815291,-0.0,-466.9820745815291,0.0,0.0,1.0,0
ALAALAr,0.0,31.47039077883659,0.0,26.2266843963194,-1.6659616000667263,6.909667982583919,0.0,0
ALAR,0.0,0.5,0.0,-0.04149858049601107,-0.10853641380773382,0.6500349943037449,0.0,0
ALATAD2,0.0,-35.03273269943054,-0.0,-57.554988622181384,-1.2312910747944308,23.753546997545275,1.0,0
ALATAL,0.0,28.626897726730217,0.0,0.1817158851242766,-0.04851297653211617,28.493694818138056,0.0,0
ALATAL2,0.0,-34.53273269943054,-0.0,-57.596487202677395,-1.3398274886021646,24.40358199184902,1.0,0
ALCD19,0.0,-17.313170202929406,-0.0,-33.49458325974393,-9.429014428808891,25.61042748562342,1.0,0
