,lb,ub
2ddg6p_c,-16.118095650906135,-9.771984684701728
e4p_c,-11.30084255889347,-9.134747531187578
pep_c,-8.94771653204729,-5.606156906709081
2dda7p_c,-16.118095650958324,-6.907755278982137
g3p_c,-16.118095650485344,-6.907755278982137
dgmp_c,-9.330187029897997,-8.280030289046502
dgdp_c,-16.118095650958324,-6.907755278982137
23dhmb_c,-16.118095651037862,-6.907755278982137
3mob_c,-16.118095650958324,-6.907755278982137
23dhmp_c,-16.11809565087698,-6.907755278982137
3mop_c,-16.118095651081738,-6.907755278982137
dha_c,-16.118095651116597,-6.907755278982137
dhap_c,-10.492502192041508,-4.902752911399252
23dhdp_c,-16.11809565091052,-6.907755278982137
thdp_c,-16.118095650996786,-6.907755278982137
dhf_c,-16.118095650958324,-6.907755278982137
dhpt_c,-16.118095650958324,-6.907755278982137
dhnpt_c,-16.118095651029655,-6.907755278982137
6hmhpt_c,-16.118095651028575,-6.907755278982137
gcald_c,-16.11809565094294,-6.907755278982137
dhor-S_c,-12.771776209972527,-9.934168380398509
orot_c,-16.118095651020006,-6.907755278983259
25drapp_c,-16.118095650958594,-6.907755278982137
6hmhptpp_c,-16.11809565095176,-6.907755278982137
3dhq_c,-16.11809581821265,-6.907755278982137
3dhsk_c,-16.118095650894865,-6.907755278982137
25dkglcn_c,-16.11809565104906,-6.907755278982137
dkmpp_c,-16.118095650958324,-6.907755278982137
2kmb_c,-16.118095650958324,-6.907755278982137
dmpp_c,-16.118095651004943,-6.907755278982137
ipdp_c,-16.11809565075322,-6.907755278982137
h2mb4p_c,-16.11809565095838,-6.907755278982137
dmso_c,-16.11809565095966,-6.907755278982137
dms_c,-16.118095650958324,-6.907755278982137
2dmmql8_c,-16.118095650958324,-6.907755278982137
dhpmp_c,-16.118095650963028,-6.907755278982137
ahdt_c,-16.11809565097795,-6.907755278982137
dpcoa_c,-16.118095651337832,-6.907755278982137
2dhp_c,-16.118095650958324,-6.907755278982137
pant-R_c,-16.11809565058011,-6.907755278982137
2dr5p_c,-16.11809565103451,-6.907755278982137
dtmp_c,-16.118095643834224,-6.907755278982137
dump_c,-16.11809565095676,-6.907755278982137
2dr1p_c,-16.118095650699253,-6.907755278982137
udcpdp_c,-16.118095650882175,-6.907755278982137
6pgc_c,-13.30984847551156,-4.183865890107414
kdo2lipid4_c,-16.118095650948987,-6.907755278982137
kdo2lipid4L_c,-16.118095651483266,-6.907755278982137
lipa_c,-16.118095648434924,-6.907755278982137
2pg_c,-16.118095650997894,-6.907755278982137
etha_c,-16.11809565095136,-6.907755278982137
f6p_c,-9.186041310179009,-6.466136723351072
fdp_c,-9.27992310061961,-2.7346577035769553
fmn_c,-16.118095650882495,-7.971501688471257
f1p_c,-11.833149651237251,-6.720953863392419
mal-L_c,-16.11809565118002,-3.7599500318436885
gam1p_c,-16.118095650819342,-6.9077552789821635
acgam1p_c,-16.118095649839717,-6.907755278982137
g1p_c,-16.11809559507234,-6.9077552789841405
dttp_c,-7.6645747132218585,-3.9115611859357404
