,lb,ub
cys-L_c,9.999999999999958e-05,1.0000000000000002
actACP_c,9.999999999999958e-05,1.0000000000000002
malACP_c,9.999999999999958e-05,1.0000000000000002
ddcaACP_c,9.999999999999958e-05,1.0000000000000002
cdpdag1_c,9.999999999999958e-05,1.0000000000000002
cmp_c,0.25293577480075224,2.4284209364673077
paEC_c,9.999999999999958e-05,1.0000000000000002
pphn_c,9.999999999999958e-05,1.0000000000000002
3psme_c,9.999999999999958e-05,1.0000000000000002
pgEC_c,9.999999999999958e-05,1.0000000000000002
clpnEC_c,9.999999999999958e-05,1.0000000000000002
csn_c,0.016565512011598473,0.08401505195846594
ura_c,9.999999999999958e-05,1.0000000000000002
utp_c,2.316336241779802,34.99142800060471
ctp_c,9.999999999999958e-05,12.785329461759437
so3_c,9.999999999999958e-05,1.0000000000000002
acser_c,9.999999999999958e-05,1.0000000000000002
h2s_c,9.999999999999958e-05,1.0000000000000002
cyst-L_c,9.999999999999958e-05,1.0000000000000002
cytd_c,0.0008193694113263502,0.019138411129290038
uri_c,9.999999999999958e-05,1.0000000000000002
cdp_c,9.999999999999958e-05,1.0000000000000002
dcmp_c,9.999999999999958e-05,1.0000000000000002
dcdp_c,9.999999999999958e-05,1.0000000000000002
fad_c,9.999999999999958e-05,1.5438969950506944
fadh2_c,9.999999999999958e-05,1.0000000000000002
dad-2_c,0.003598100458433229,0.01632801363150391
din_c,9.999999999999958e-05,1.0000000000000002
damp_c,9.999999999999958e-05,0.08092757301723567
dadp_c,9.999999999999958e-05,1.0000000000000002
12dgrEC_c,9.999999999999958e-05,1.0000000000000002
26dap-M_c,9.999999999999958e-05,0.9999999999999986
lys-L_c,9.999999999999958e-05,2.217095847240272
26dap-LL_c,9.999999999999958e-05,0.9999999999999986
db4p_c,9.999999999999958e-05,1.0000000000000002
dctp_c,0.05854335069331934,0.1755508859532601
dutp_c,9.999999999999958e-05,1.0000000000000002
dcyt_c,9.999999999999958e-05,1.0000000000000002
duri_c,0.00010000000000000029,1.0000000000000002
2ddg6p_c,9.999999999999958e-05,0.057027058930045386
e4p_c,0.012362503741650745,0.10785233540287929
pep_c,0.13003374865925876,3.6751662593210637
2dda7p_c,9.999999999999958e-05,1.0000000000000002
g3p_c,0.00010000000000000029,1.0000000000000002
dgmp_c,0.08870564496533419,0.25352952075098845
dgdp_c,0.00010000000000000029,0.9999999999999986
23dhmb_c,9.999999999999958e-05,1.0000000000000002
3mob_c,9.999999999999958e-05,1.0000000000000002
23dhmp_c,9.999999999999958e-05,1.0000000000000002
3mop_c,0.00010000000000000029,1.0000000000000002
dha_c,9.999999999999958e-05,1.0000000000000002
dhap_c,0.027743688319622633,7.42611147867144
23dhdp_c,9.999999999999958e-05,1.0000000000000002
thdp_c,9.999999999999958e-05,1.0000000000000002
dhf_c,0.00010000000000000029,1.0000000000000002
dhpt_c,9.9999995166294e-05,1.0000000000000002
dhnpt_c,9.999999999999958e-05,1.0000000109325646
6hmhpt_c,9.999999999999958e-05,1.0000000000000002
gcald_c,9.999999999999958e-05,1.0000000000000002
dhor-S_c,0.002839802059131152,0.04848925260264793
orot_c,9.999999999999958e-05,1.0000000000000002
25drapp_c,0.00010000000000000029,1.0000000000000002
6hmhptpp_c,9.999999999999958e-05,1.0000000000000002
3dhq_c,9.999999999999958e-05,1.0000000000000002
3dhsk_c,9.999999813105904e-05,1.0000000000000002
25dkglcn_c,9.999999999999958e-05,1.0000000000000002
dkmpp_c,9.999999999999958e-05,1.0000000000000002
2kmb_c,9.999999999999958e-05,1.0000000000000002
2dmmql8_c,9.999999999999958e-05,1.0000000000000002
dhpmp_c,9.999999999999958e-05,1.0000000000000002
ahdt_c,9.999999999999958e-05,1.0000000000000002
dpcoa_c,9.999999999999958e-05,1.0000000000000002
2dhp_c,9.999999999999958e-05,1.0000000000000002
pant-R_c,9.999999999999958e-05,1.0000000000000002
2dr5p_c,9.999999999999958e-05,1.0000000000000002
dtmp_c,9.999999999999958e-05,1.0000000000000002
dump_c,9.999999999999958e-05,0.9999999999999986
2dr1p_c,9.999999999999958e-05,1.0000000000000002
udcpdp_c,9.999999999999958e-05,1.0000000000000002
6pgc_c,0.0016580829447549767,15.239479389403696
kdo2lipid4_c,9.999999999999958e-05,0.9999999999999986
kdo2lipid4L_c,9.999999999999958e-05,1.0000000000000002
lipa_c,9.999999999999958e-05,1.0000000000000002
2pg_c,9.999999999999958e-05,0.9999999999999986
etha_c,9.999999999999958e-05,1.0000000000000002
f6p_c,0.10245966898066446,1.555222396451876
fdp_c,0.09327829623283898,64.91622389252457
fmn_c,9.999999999999958e-05,0.3451602733160588
mal-L_c,9.999999999999958e-05,23.28490388124775
gam1p_c,9.999999999999958e-05,1.0000000000000002
acgam1p_c,9.999999999999958e-05,1.0000000000000002
g1p_c,0.00010000000000000029,0.9999999999999986
dttp_c,0.46915623880116325,20.009238522970268
glyc3p_c,9.999999999999958e-05,5.533469910918429
glu5sa_c,0.00010000000000000029,1.0000000000000002
1pyr5c_c,9.999999858362644e-05,1.0000000000000002
glu5p_c,0.00010000000000000029,1.0000000000000002
6pgl_c,9.999999999999958e-05,1.0000000000000002
gal_c,9.999999999999958e-05,1.0000000000000002
udpg_c,0.13675544478304483,17.574880127000558
13dpg_c,0.02165358559089791,0.21580369353536083
gar_c,9.999999999999958e-05,1.0000000000000002
fgam_c,0.00010000000000000029,1.0000000000000002
glyclt_c,0.00010000000000000029,1.0000000000000002
ser-L_c,9.999999999999958e-05,0.7354694733786702
gly_c,9.999999999999958e-05,1.0000000000000002
mlthf_c,9.999999999999958e-05,0.9999999999999986
glycogen_c,9.999999999999958e-05,1.0000000000000002
2h3oppan_c,9.999999999999958e-05,1.0000000000000002
adpglc_c,0.005854335069331989,0.02404671098457849
pram_c,9.999999999999958e-05,1.0000000000000002
glu-D_c,9.999999999999958e-05,1.0000000000000002
glx_c,9.999999999999958e-05,0.9999999999999986
2aobut_c,9.999999999999958e-05,1.0000000000000002
glyc-R_c,0.4559968897816344,10.402429048143578
3pg_c,1.1843414117574682,10.632899414949678
lgt-S_c,9.999999999999958e-05,1.0000000000000002
gthrd_c,6.432086230704949,70.85368339488977
lac-D_c,9.999999999999958e-05,1.0000000000000002
gmhep1p_c,9.999999999999958e-05,1.0000000000000002
gmhep7p_c,9.999999999999958e-05,0.9999999999999986
gmhep17bp_c,9.999999999999958e-05,1.0000000000000002
xmp_c,9.999999999999958e-05,1.0000000000000002
g3pc_c,9.999999999999958e-05,1.0000000000000002
chol_c,9.999999999999958e-05,1.0000000000000002
g3pe_c,9.999999999999958e-05,1.0000000000000002
g3pg_c,9.999999999999958e-05,0.9999999999999986
gsn_c,0.0027193564520832008,0.008292651771636522
gtspmd_c,9.999999999999958e-05,1.0000000000000002
spmd_c,9.999999999999958e-05,1.0000000000000002
gua_c,9.999999999999958e-05,1.0153055749044237
xan_c,9.999999999999958e-05,1.0000000000000002
histd_c,9.999999999999958e-05,0.17275462526381383
his-L_c,9.999999999999958e-05,0.6163809999312394
hisp_c,9.999999999999958e-05,1.0000000000000002
hpyr_c,0.00010000000000000029,1.0000000000000002
hom-L_c,9.999999999999958e-05,0.9999999999999986
phom_c,9.999999999999958e-05,1.0000000000000002
suchms_c,9.999999999999958e-05,1.0000000000000002
