,rxn,lb,ub,width_metabolome,width_no_metabolome,source
90,CHORM,0.2059476903616648,0.2154771011630885,0.009529410801423693,0.009529410801423693,metabolome
91,CHORS,0.2757149861181259,0.2884726012329032,0.012757615114777299,0.012757615115089993,metabolome
92,CITL,0.0,99.91473253618904,99.91473253618904,100.0,metabolome
93,CLPNSEC,0.0043269140157135,0.0045271247638777,0.0002002107481642,0.0002002107481642,metabolome
94,CMPN,0.0,99.79807734593317,200.0,99.79807734593317,no_metabolome
95,CS,-20.11753542959451,100.0,120.11753542959451,200.0,metabolome
96,CSND,-100.0,100.0,200.0,200.0,metabolome
97,CTPS2,0.0,99.0418951191152,99.0418951191152,100.0,metabolome
98,CYSS,-99.8364205937461,100.0,199.83642059374608,199.84365484440383,metabolome
99,CYSTL,0.0979425498132258,0.1024744520195071,0.004531902206281302,0.004531902206458896,metabolome
100,cytd,0.0,99.79807734593314,200.0,99.79807734593314,no_metabolome
101,CYTDK2,-100.0,100.0,200.0,199.6945118008284,metabolome
102,CYTK1,-100.0,100.0,200.0,200.0,metabolome
103,CYTK2,-100.0,100.0,200.0,200.0,metabolome
104,DAAD,-100.0,100.0,200.0,200.0,metabolome
105,DADA,-0.0173364313854733,98.16010229775908,98.17743872914455,99.81360318170664,metabolome
106,DADK,-100.0,100.0,200.0,200.0,metabolome
107,DAGKEC,0.0,100.0,100.0,100.0,metabolome
108,DAPDC,0.2186936386251119,0.228812817521657,0.010119178896545095,0.010119179019592306,metabolome
109,DAPE,0.2372088055751078,0.248184700233466,0.010975894658358215,0.010975895682854009,metabolome
110,DASYNEC,-100.0,100.0,200.0,200.0,metabolome
111,DB4PS,1.3416787645650896e-05,1.40375961672733e-05,6.20808521622404e-07,6.208085216320466e-07,metabolome
112,DCTPD,0.0,99.57653243918318,200.0,99.57653243918318,no_metabolome
113,DCYTD,-100.0,100.0,200.0,200.0,metabolome
114,DDPA,0.2757149861179613,0.2884726012329031,0.012757615114941778,0.012757615114975474,metabolome
115,DGK1,-100.0,100.0,200.0,200.0,metabolome
116,DHAD1,0.5568362668180667,0.5826016518413195,0.025765385023252763,0.025765385023652887,metabolome
117,DHAD2,0.1851516695108301,0.1937188271042345,0.0085671575934044,0.0085671575934044,metabolome
118,DHAPT,-100.0,100.0,200.0,200.0,metabolome
119,DHDPRy,0.2372088055751078,0.248184700233466,0.010975894658358215,0.010975894658528718,metabolome
120,DHDPS,0.2372088055751078,0.248184700233466,0.010975894658358215,0.010975894658528718,metabolome
121,DHFR,0.050111701856506,0.0524304216839419,0.0023187198274359014,0.002318719827473101,metabolome
122,DHFS,0.0335419691141254,0.035093990417628,0.0015520213035025987,0.0015520213037931996,metabolome
123,DHNPA2,0.0335419691141272,0.0350939904176281,0.0015520213035008987,0.0015520213035249975,metabolome
124,DHORD2,0.0,47.17149711454777,47.17149711454777,99.01668045042484,metabolome
125,DHORD5,-46.69823289141144,0.5765682096594418,47.274801101070885,99.55212429340051,metabolome
126,DHORTS,-0.5765682096594418,-0.4732656874177081,0.1033025222417337,0.10330252224184733,metabolome
127,DHPPDA2,6.708393822825448e-06,7.018798083747672e-06,3.104042609222243e-07,3.1040426091646617e-07,metabolome
128,DHPS2,0.0335419691141254,0.0350939904176281,0.0015520213035026958,0.0015520213035232003,metabolome
129,DHQD,0.2757149861180181,0.288472601233344,0.012757615115325915,0.012757615115089993,metabolome
130,DHQS,0.2757149861180181,0.288472601233344,0.012757615115325915,0.012757615115089993,metabolome
131,DKGLCNR1,-100.0,100.0,200.0,200.0,metabolome
132,DKGLCNR2x,-100.0,100.0,200.0,200.0,metabolome
133,DKGLCNR2y,-100.0,100.0,200.0,200.0,metabolome
134,DKMPPD,0.0,0.0049131586584679,0.0049131586584679,0.0049131586584668,metabolome
135,DKMPPD2,0.0,0.0049131586584679,0.0049131586584679,0.0049131586584668,metabolome
136,DMPPS,0.0,0.0,0.0,0.0,metabolome
137,DMSOR1,0.0,0.0,0.0,0.0,metabolome
138,DMSOR2,0.0,0.0,0.0,0.0,metabolome
