,rxn,lb,ub,width_metabolome,width_no_metabolome,source
163,FTHFD,-100.0,100.0,200.0,200.0,metabolome
164,fum,-100.0,100.0,200.0,199.71072971225294,metabolome
165,G1PACT,0.0193419036320603,0.0239111454626417,0.0045692418305814005,0.004569242181865999,metabolome
166,G1PP,-100.0,100.0,200.0,200.0,metabolome
167,G3PD2,-100.0,100.0,200.0,199.95564794042127,metabolome
168,G3PD5,0.0,60.66469885594976,60.66469885594976,100.0,metabolome
169,G3PD6,-100.0,100.0,200.0,200.0,metabolome
170,G3PD7,-100.0,100.0,200.0,200.0,metabolome
171,G5SADs,-99.94358611440538,100.0,199.94358611440538,199.93025915906824,metabolome
172,G5SD,-100.0,100.0,200.0,200.0,metabolome
173,G6PDA,-100.0,99.98065809636756,199.98065809636756,199.98065809636802,metabolome
174,G6PDH2r,-100.0,100.0,200.0,200.0,metabolome
175,GALU,0.005319023498572,99.9034516643695,199.9946809765011,99.89813264087093,no_metabolome
176,GAPD,-100.0,99.43775262104658,199.43775262104657,199.30492990144896,metabolome
177,GARFT,-99.8678010436855,100.0,199.86780104368552,199.71142470783434,metabolome
178,GART,-99.86780104368528,100.0,199.8678010436853,199.71142470783434,metabolome
179,GCALDD,0.0134318775223058,0.0166049621267714,0.0031730846044656005,0.003173084604468199,metabolome
180,GF6PTA,-99.98065809636756,100.0,199.98065809636756,199.73395864474168,metabolome
181,GHMT2,-100.0,100.0,200.0,200.0,metabolome
182,GK1,0.0679679865315705,100.0,99.93203201346843,200.0,metabolome
183,GLCP,-25.05114328334996,24.95862981723061,50.00977310058057,50.0,metabolome
184,GLCS1,-25.0,25.0,50.0,50.0,metabolome
185,GLGC,0.0,99.74415550490522,200.0,99.74415550490522,no_metabolome
186,GLNS,0.0,100.0,200.0,100.0,no_metabolome
187,GLU5K,-100.0,100.0,200.0,200.0,metabolome
188,GLUDC,-100.0,100.0,200.0,200.0,metabolome
189,GLUDy,-100.0,100.0,200.0,200.0,metabolome
190,GLUN,-100.0,100.0,200.0,200.0,metabolome
191,GLUPRT,0.132198956312493,0.1634290448357273,0.03123008852323428,0.031230069832581697,metabolome
192,GLUR,-0.0091659390939469,-0.0074143963923773,0.0017515427015696002,0.0017515427015696002,metabolome
193,GLUSy,-100.0,100.0,200.0,200.0,metabolome
194,GLXCL,0.0,99.9926005144466,199.99328406123874,99.9926005144466,no_metabolome
195,GLYATi,-100.0,100.0,200.0,200.0,metabolome
196,GLYCDx,-100.0,100.0,200.0,200.0,metabolome
197,GLYCK,0.0,99.85754150699825,199.99328406123874,99.85754150699825,no_metabolome
198,GLYCL,-100.0,100.0,200.0,199.5401456533329,metabolome
199,GLYCLTDx,-100.0,100.0,200.0,200.0,metabolome
200,GLYCLTDy,-100.0,100.0,200.0,200.0,metabolome
201,GLYCTO2,0.0,60.66469885594928,60.66469885594928,100.0,metabolome
202,GLYCTO3,-100.0,100.0,200.0,200.0,metabolome
203,GLYCTO4,-100.0,100.0,200.0,200.0,metabolome
204,GLYK,-100.0,100.0,200.0,200.0,metabolome
205,GLYOX,-100.0,100.0,200.0,200.0,metabolome
206,GMHEPAT,0.0067696662712575,0.008368900911909,0.0015992346406515003,0.0015992346406515003,metabolome
207,GMHEPK,0.0067696662712575,0.008368900911909,0.0015992346406515003,0.0015992346406515003,metabolome
208,GMHEPPA,0.0067696662712575,0.008368900911909,0.0015992346406515003,0.0015992346406515003,metabolome
209,GMPR,-100.0,99.9252086195803,199.9252086195803,199.92520861958016,metabolome
210,GMPS2,-100.0,100.0,200.0,199.92520861958016,metabolome
211,GND,-100.0,100.0,200.0,200.0,metabolome
212,GNK,0.0,0.0,0.0,0.0,metabolome
213,GPDDA2,-100.0,99.96879774851516,199.96879774851516,199.96142667297988,metabolome
214,GPDDA4,-100.0,99.99030218442874,199.99030218442874,199.9880112173446,metabolome
215,GSNK,-100.0,100.0,200.0,199.32425180119756,metabolome
216,GSPMDA,0.0,100.0,200.0,100.0,no_metabolome
217,GSPMDS,0.0,99.01495425692848,200.0,99.01495425692848,no_metabolome
218,GTPCI,0.0134318775223079,0.0166049621267713,0.003173084604463399,0.003173084604468199,metabolome
219,GTPCII2,2.6863755044611746e-06,3.3209924256150103e-06,6.346169211538357e-07,6.346169211489674e-07,metabolome
220,GUAD,-100.0,100.0,200.0,199.7326228745141,metabolome
221,GUAPRT,-100.0,100.0,200.0,200.0,metabolome
222,HEX1,-100.0,100.0,200.0,200.0,metabolome
223,histd,0.024177379540518,0.0298889318279265,0.005711552287408498,0.005711552287408498,metabolome
224,HISTP,0.0241773795400064,0.0298889318283318,0.0057115522883254,0.005711552288151001,metabolome
225,HPPK2,0.0134318775223058,0.016604962126776,0.003173084604470201,0.003173084604468702,metabolome
226,HPYRI,-100.0,100.0,200.0,200.0,metabolome
227,HPYRRx,-100.0,100.0,200.0,200.0,metabolome
228,HPYRRy,-100.0,100.0,200.0,200.0,metabolome
229,HSDy,-99.90500976216067,99.96077891763422,199.8657886797949,199.83408321843092,metabolome
230,HSK,-100.0,99.86578867979487,199.8657886797949,199.83408321843092,metabolome
231,HSST,0.0392210823650032,0.0484864894102372,0.009265407045234,0.0092654070453193,metabolome
232,HSTPT,0.0241773795401414,0.0298889318282817,0.0057115522881403015,0.0057115522882327,metabolome
233,HXPRT,-100.0,100.0,200.0,200.0,metabolome
234,HYPOE,0.0,100.0,200.0,100.0,no_metabolome
235,ICDHyr,-100.0,100.0,200.0,199.701651136474,metabolome
236,ICL,-100.0,100.0,200.0,200.0,metabolome
237,IDOND,-100.0,100.0,200.0,200.0,metabolome
238,IDOND2,-100.0,100.0,200.0,200.0,metabolome
239,IG3PS,0.0241773795400632,0.0298889318283812,0.005711552288318,0.0057115522882327,metabolome
240,IGPDH,0.0241773795400632,0.0298889318283812,0.005711552288318,0.0057115522882327,metabolome
241,IGPS,0.0145064277240903,0.017933359096913,0.003426931372822701,0.0034269315843357007,metabolome
242,ILETA,-0.0916593909389149,-0.0741439639243282,0.017515427014586693,0.01751542756482699,metabolome
243,IMPC,-0.1933179579730429,-0.1563763358526344,0.036941622120408496,0.036941627974343305,metabolome
244,IMPD,-99.9252086195803,100.0,199.9252086195803,199.90754024988655,metabolome
245,INSK,-100.0,100.0,200.0,199.72267950633628,metabolome
246,IPDDIi,0.0,0.0,0.0,0.0,metabolome
247,IPDPS,0.0,0.0,0.0,0.0,metabolome
248,IPMD,0.1149768715909382,0.1421384758051626,0.027161604214224394,0.027161604241177015,metabolome
249,IPPMIa,-0.1421384758051626,-0.1149768715909382,0.027161604214224394,0.02716160429604121,metabolome
250,IPPMIb,-0.1421384758051626,-0.1149768715909382,0.027161604214224394,0.02716160429604121,metabolome
251,IPPS,0.1149768715909382,0.1421384758051626,0.027161604214224394,0.02716160421432791,metabolome
252,KARA1i,0.2229850164857537,0.2756619651597136,0.05267694867395989,0.052676948674337226,metabolome
253,KARA2i,0.0741439639230563,0.0916593909398599,0.0175154270168036,0.017515427034098197,metabolome
254,KAS14,-100.0,99.99925000374992,199.99925000374992,199.9982500037504,metabolome
255,KAS15,-100.0,100.0,200.0,200.0,metabolome
256,KAS16,0.0090262216950083,0.0111585345492126,0.0021323128542043,0.0021323128542043,metabolome
257,KDOCT2,0.0112827771185306,0.0139481681865951,0.0026653910680645015,0.0026653910680645015,metabolome
258,KDOPP,0.0112827771185306,0.0139481681865951,0.0026653910680645015,0.0026653910680645015,metabolome
259,KDOPS,0.0112827771185306,0.0139481681865951,0.0026653910680645015,0.0026653910680645015,metabolome
260,LDHD,-100.0,100.0,200.0,200.0,metabolome
261,LDHD2,0.0,60.66471040647306,60.66471040647306,200.0,metabolome
262,LEUTAi,0.1149768715928019,0.1421384758038186,0.02716160421101671,0.027161604292563313,metabolome
263,LGTHL,-100.0,100.0,200.0,200.0,metabolome
264,L-LACD2,0.0,60.664709506272814,60.664709506272814,100.0,metabolome
