,rxn,lb,ub
390,TRPS2,-100.0,100.0
391,TRPS3,-100.0,100.0
392,TRSAR,-100.0,100.0
393,TYRTA,-100.0,100.0
394,U23GAAT,-100.0,100.0
395,UAAGDS,-100.0,100.0
396,UAGAAT,-100.0,100.0
397,UAGCVT,-100.0,100.0
398,UAGDP,-100.0,100.0
399,UAGPT3,-100.0,100.0
400,UAMAGS,-100.0,100.0
401,UAMAS,-100.0,100.0
402,UAPGR,-100.0,100.0
403,UDCPDP,-100.0,100.0
404,UGMDDS,-100.0,100.0
405,UHGADA,-100.0,100.0
406,UMPK,-100.0,100.0
407,UNK3,-100.0,100.0
408,UPPRT,-100.0,100.0
409,URIDK2r,-100.0,100.0
410,URIK2,-100.0,100.0
411,USHD,-100.0,100.0
412,VALTA,-100.0,100.0
413,VPAMT,-100.0,100.0
414,XPPT,-100.0,100.0
415,biomass,-100.0,100.0
416,EX_ac,8.826068397839,12.84593332748
417,EX_h2o,-100.0,100.0
418,EX_nh3,-100.0,100.0
419,EX_pi,-100.0,100.0
420,EX_so4,-100.0,100.0
421,ACt2r,-100.0,100.0
422,ARGabc,-100.0,100.0
423,ARGORNt7,-100.0,100.0
424,ATPS4r,-100.0,100.0
425,Cex,-100.0,100.0
426,CHLabc,-100.0,100.0
427,CHLt2r,-100.0,100.0
428,CYTBD,-100.0,100.0
429,DMSOR1e,-100.0,100.0
430,DMSOR2e,-100.0,100.0
431,FDH2,-100.0,100.0
432,FDH3,-100.0,100.0
433,FRUpts,-100.0,100.0
434,FRUpts2,-100.0,100.0
435,FUMt22,-100.0,100.0
436,GALabc,-100.0,100.0
437,GALt2,-100.0,100.0
438,GLCDe,-100.0,100.0
439,GLCNt2r,-100.0,100.0
440,GLCpts,-100.0,100.0
441,GLCt2,-100.0,100.0
442,GLYBabc,-100.0,100.0
443,GLYBt2r,-100.0,100.0
444,GLYC3Pabc,-100.0,100.0
445,GLYC3Pt6,-100.0,100.0
446,Ht,-100.0,100.0
447,HYD1,-100.0,100.0
448,HYD2,-100.0,100.0
449,HYD3,-100.0,100.0
450,ILEabc,-100.0,100.0
451,ILEt2r,-100.0,100.0
452,LEUabc,-100.0,100.0
453,LEUt2r,-100.0,100.0
454,LYSabc,-100.0,100.0
455,LYSt2r,-100.0,100.0
456,NADH6,-100.0,100.0
457,NADH7,-100.0,100.0
458,NADH8,-100.0,100.0
459,NH3t,-100.0,100.0
460,NMNt7,-100.0,100.0
461,NO3R1,-100.0,100.0
462,NO3R2,-100.0,100.0
463,ORNabc,-100.0,100.0
464,PIabc,-100.0,100.0
465,PIt2r,-100.0,100.0
466,PTRCabc,-100.0,100.0
467,PTRCORNt7,-100.0,100.0
468,PTRCt2r,-100.0,100.0
469,SUCCabc,-100.0,100.0
470,SUCCt22,-100.0,100.0
471,SUCFUMt,-100.0,100.0
472,SULabc,-100.0,100.0
473,THD2,-100.0,100.0
474,TMAOR1e,-100.0,100.0
475,TMAOR2e,-100.0,100.0
476,TREpts,-100.0,100.0
477,VALabc,-100.0,100.0
478,VALt2r,-100.0,100.0
479,biomass_ce,-100.0,100.0
480,biomass_EX,0.670839382285755,0.7018798083485249
481,OROTex,-100.0,100.0
482,DCTA,-100.0,100.0
483,EX_oro,0.261884198060484,0.35540588204754797
